sep=,
"Date",18 Aug 2025
"Trade",Long
"Number of stocks",24
"Begin",2008
"End",Last possible
"Max per sector",No maximum
"Rebalance timing",QUARTER[ACTUAL:2008:Q2] Q2
"Rebalance strategy",Full rebalance
"Sell strategy",Keep full period
"Position sizes",Equal position. Maximal position.
"Compare to",GSPC

,,"Return","(Avg of) Period SD","Average beta","Top 12","Without outliers","Monte Carlo variant 1","Monte Carlo variant 2","Monte Carlo variant 3","Monte Carlo variant 4","Portfolio SD","Sharpe ratio","Sortini ratio","US S&P 500 - Total Return",
Total return,,1051%,,,533%,1171%,789%,1281%,1298%,1107%,,,,560%,
,Quarter return,7.84%,18%,0.67,4.66%,6.06%,8.93%,3.96%,8.16%,9.79%,14.17%,13.04%,8.49%,5.12%,-14.11%,2.42%,2.80%,6.29%,25.45%,-12.54%,-7.64%,12.40%,-6.81%,-22.17%,3.23%,-2.05%,17.38%,19.96%,6.67%,69.14%,15.21%,-0.22%,34.08%,-2.15%,,10.32%,
2014 Q1,Stocks,,,,,,,,,,"LIWA","METN.SW","TNAV","2685.T","ATE.PA","3395.T","BB.TO","CG.TO","4628.T","USNA","WITH.HE","S188.DE","2674.T","KLIC","RPS.L","ZVO","YONG","3076.T","IDCC","SIPH.PA","THEP.PA","SVM.TO","VAN.BR","HOC.L",,"US S&P 500 - Total Return",
,Quarter return,3.69%,16%,0.67,3.74%,3.41%,7.72%,3.92%,4.04%,2.51%,-13.56%,12.45%,-9.42%,-31.86%,18.52%,1.51%,13.01%,18.49%,9.92%,0.08%,28.03%,-2.30%,-8.20%,-4.40%,-7.37%,-15.16%,6.41%,39.31%,12.80%,-8.41%,17.23%,-14.31%,7.95%,17.80%,,2.03%,
2014 Q2,Stocks,,,,,,,,,,"LIWA","TNAV","2685.T","3395.T","BB.TO","USNA","ATE.PA","CG.TO","2674.T","WITH.HE","WAVE.PA","KLIC","YONG","TIM.DE","ZVO","SVM.TO","CTCM","VAN.BR","ITP.PA","4708.T","MGX.AX","LPK.DE","IDCC","ADTN",,"US S&P 500 - Total Return",
,Quarter return,-0.30%,25%,0.81,-0.65%,1.78%,-4.75%,0.28%,-1.25%,4.25%,-93.96%,-5.01%,-6.01%,7.83%,21.42%,3.32%,-10.20%,30.44%,10.23%,8.44%,12.48%,13.26%,1.76%,-14.81%,-15.25%,5.81%,20.34%,0.65%,-5.47%,5.04%,-23.91%,-10.72%,44.64%,-7.55%,,5.27%,
2014 Q3,Stocks,,,,,,,,,,"TNAV","2767.T","6245.T","3395.T","ATE.PA","USNA","4628.T","TIM.DE","WITH.HE","ZVO","YONG","2674.T","KLIC","CG.TO","MGX.AX","ITP.PA","LPK.DE","VAN.BR","SVM.TO","ADTN","CTCM","4206.T","CRUS","IQNT",,"US S&P 500 - Total Return",
,Quarter return,-6.99%,15%,0.90,-1.37%,-6.44%,-8.74%,-4.67%,-7.11%,-7.09%,17.96%,8.78%,-4.70%,2.50%,-1.44%,-6.28%,20.20%,-38.45%,-2.22%,-16.53%,1.44%,2.28%,-0.49%,-25.04%,-19.57%,-23.68%,-7.14%,0.03%,-19.78%,-9.00%,-38.62%,8.20%,-8.55%,-7.65%,,0.97%,
2014 Q4,Stocks,,,,,,,,,,"TIMA.DE","6245.T","TNAV","2767.T","3395.T","USNA","ATE.PA","ZVO","CG.TO","WITH.HE","CTCM","MGX.AX","4628.T","3632.T","ITP.PA","2674.T","KLIC","SVM.TO","LPK.DE","MIN.AX","ADTN","VAN.BR","CRUS","IQNT",,"US S&P 500 - Total Return",
,Quarter return,3.33%,22%,0.82,2.01%,2.77%,-6.76%,6.47%,1.96%,3.40%,29.35%,-6.78%,-0.30%,-4.76%,25.51%,39.07%,4.71%,1.71%,19.69%,-8.33%,-23.83%,-51.89%,4.44%,-2.35%,10.82%,2.23%,2.05%,-13.61%,-21.47%,-10.73%,6.99%,2.32%,13.92%,61.08%,,5.16%,
2015 Q1,Stocks,,,,,,,,,,"MGX.AX","2767.T","KOG.OL","TNAV","TIM.DE","3395.T","ATE.PA","CG.TO","WITH.HE","3632.T","ZVO","USNA","4628.T","SVM.TO","KLIC","MIN.AX","2674.T","LPK.DE","ITP.PA","6965.T","VAN.BR","ADTN","TZOO","3657.T",,"US S&P 500 - Total Return",
,Quarter return,11.15%,17%,0.77,13.53%,11.72%,11.36%,13.06%,10.62%,11.75%,-10.00%,22.93%,30.95%,19.46%,28.69%,18.14%,21.71%,2.47%,18.89%,15.71%,-14.98%,8.37%,5.44%,-1.67%,7.42%,-9.86%,24.13%,-4.05%,36.65%,26.02%,35.38%,-14.38%,-23.85%,23.97%,,0.76%,
